date,year,month,decade,gas_ppi,gas_index_2024base,mom_pct,yoy_pct,rolling_vol_12m,shock,direction,event
1997-04-01,1997,4,1990,75.5,103.658362174995,-3.821656050955413,-18.64224137931034,21.645603969747125,False,down,
1997-05-01,1997,5,1990,83.7,114.91662137810705,10.860927152317878,-4.886363636363633,21.763734285885853,True,up,
1997-06-01,1997,6,1990,88.7,121.78141357512658,5.973715651135003,12.420785804816227,21.44681529155348,True,up,
1997-07-01,1997,7,1990,85.8,117.79983410085524,-3.269447576099216,-1.718213058419249,21.378547421993144,False,down,
1997-08-01,1997,8,1990,87.1,119.58468007208032,1.5151515151515138,-1.2471655328798237,21.377105439191997,False,up,
1997-09-01,1997,9,1990,96.9,133.03967277823864,11.25143513203215,26.501305483028737,20.962056008432736,True,up,
1997-10-01,1997,10,1990,115.7,158.85129143903208,19.40144478844168,53.856382978723396,21.315852391364796,True,up,
1997-11-01,1997,11,1990,127.3,174.7776093361174,10.025929127052713,26.54075546719683,19.507577607456554,True,up,
1997-12-01,1997,12,1990,101.4,139.2179857555562,-20.345640219952866,-27.931769722814494,16.97218479697652,True,down,
1998-01-01,1998,1,1990,90.9,124.80192214181518,-10.355029585798814,-43.009404388714735,16.496530172903515,True,down,
1998-02-01,1998,2,1990,81.9,112.44529618718002,-9.9009900990099,-31.693077564637196,15.229685981308386,True,down,
1998-03-01,1998,3,1990,86.4,118.62360916449761,5.494505494505497,10.06369426751592,11.323952958590839,True,up,
1998-04-01,1998,4,1990,90.1,123.70355539029205,4.282407407407396,19.33774834437085,11.225294583905837,False,up,
1998-05-01,1998,5,1990,90.5,124.25273876605361,0.4439511653718142,8.124253285543602,10.881863078636641,False,up,
1998-06-01,1998,6,1990,81.9,112.44529618718002,-9.502762430939216,-7.666290868094694,11.178989791841799,True,down,
1998-07-01,1998,7,1990,89.0,122.19330110694774,8.66910866910866,3.7296037296037365,11.398416717522425,True,up,
1998-08-01,1998,8,1990,82.1,112.71988787506078,-7.752808988764048,-5.74052812858783,11.664924078906825,True,down,
1998-09-01,1998,9,1990,69.8,95.83249907039273,-14.981729598051153,-27.966976264189892,11.85045993429205,True,down,
1998-10-01,1998,10,1990,77.6,106.5415748977432,11.174785100286533,-32.92999135695766,10.676931431058057,True,up,
1998-11-01,1998,11,1990,83.1,114.09284631446471,7.0876288659793785,-34.72113118617439,10.387597046233168,True,up,
1998-12-01,1998,12,1990,83.4,114.50473384628587,0.3610108303249149,-17.751479289940832,8.844808129473053,False,up,
