date,year,month,decade,coal_ppi_nominal,coal_index_2024base,mom_pct,yoy_pct,rolling_vol_12m,shock,direction,event
1997-07-01,1997,7,1990,94.9,32.70618712143622,-2.063983488132093,1.7148981779206984,2.963101254832693,False,down,
1997-08-01,1997,8,1990,95.4,32.878506337039155,0.5268703898840821,-1.0373443983402453,2.7991050581723846,False,up,
1997-09-01,1997,9,1990,96.2,33.15421708200384,0.8385744234800763,2.77777777777779,2.6571374442133537,False,up,
1997-10-01,1997,10,1990,94.9,32.70618712143622,-1.3513513513513487,1.7148981779206984,2.6940581353408084,False,down,
1997-11-01,1997,11,1990,94.4,32.53386790583329,-0.5268703898840932,-0.21141649048624922,2.6720665373317556,False,down,
1997-12-01,1997,12,1990,98.3,33.87795778753615,4.131355932203373,4.90928495197438,2.898192546364787,True,up,
1998-01-01,1998,1,1990,91.7,31.603344141577466,-6.71414038657171,-5.755395683453235,3.339716325630976,True,down,
1998-02-01,1998,2,1990,94.5,32.568331748953874,3.053435114503822,-0.10570824524311906,3.3928083167554624,True,up,
1998-03-01,1998,3,1990,93.5,32.223693317748015,-1.0582010582010581,-3.3092037228541926,3.3332049915861943,False,down,
1998-04-01,1998,4,1990,95.2,32.809578650797974,1.81818181818183,-5.0847457627118615,3.169265507507248,False,up,
1998-05-01,1998,5,1990,94.5,32.568331748953874,-0.7352941176470673,-0.7352941176470673,2.8117212414881196,False,down,
1998-06-01,1998,6,1990,94.7,32.63725943519505,0.2116402116402183,-2.270381836945312,2.7557460977524393,False,up,
1998-07-01,1998,7,1990,94.3,32.4994040627127,-0.42238648363253084,-0.6322444678609207,2.6924285458293866,False,down,
1998-08-01,1998,8,1990,90.7,31.258705710371604,-3.8176033934252285,-4.926624737945495,2.89669551282368,True,down,
1998-09-01,1998,9,1990,90.1,31.051922651648084,-0.6615214994487362,-6.34095634095635,2.871536418953927,False,down,
1998-10-01,1998,10,1990,92.8,31.982446415903908,2.996670366259724,-2.212855637513178,3.025379356208646,False,up,
1998-11-01,1998,11,1990,94.2,32.46494021959212,1.5086206896551824,-0.21186440677966045,3.0588219874737663,False,up,
1998-12-01,1998,12,1990,97.1,33.464391670089114,3.0785562632696273,-1.2207527975584997,2.9432801770326584,True,up,
1999-01-01,1999,1,1990,88.2,30.39710963235695,-9.165808444902158,-3.8167938931297662,3.482686356851435,True,down,
1999-02-01,1999,2,1990,93.4,32.18922947462743,5.895691609977338,-1.1640211640211562,3.8102201003357057,True,up,
1999-03-01,1999,3,1990,93.6,32.2581571608686,0.21413276231261325,0.10695187165774556,3.7966640588570075,False,up,
1999-04-01,1999,4,1990,94.5,32.568331748953874,0.9615384615384581,-0.7352941176470673,3.7688958264981496,False,up,
1999-05-01,1999,5,1990,91.4,31.499952612215708,-3.2804232804232725,-3.2804232804232725,3.88421390411737,True,down,
1999-06-01,1999,6,1990,92.2,31.775663357180395,0.8752735229759168,-2.6399155227032733,3.8954204591500527,False,up,
1999-07-01,1999,7,1990,90.4,31.155314181009846,-1.95227765726681,-4.135737009544005,3.9299765018476713,False,down,
