Month,lat,lon,ssh
2021-12,24.025,-94.95,-0.1808680170967742
2022-01,24.025,-94.95,-0.12884283558064516
2022-02,24.025,-94.95,-0.1510818475
2022-03,24.025,-94.95,-0.027939064677419356
2022-04,24.025,-94.95,-0.07383427655333333
2022-05,24.025,-94.95,-0.09459547948387097
2022-06,24.025,-94.95,-0.23867168433333333
2022-07,24.025,-94.95,-0.3033051312903226
2022-08,24.025,-94.95,-0.2714984967741935
2022-09,24.025,-94.95,-0.25599517833333335
2022-10,24.025,-94.95,-0.25261000322580646
2022-11,24.025,-94.95,-0.186383488
2022-12,24.025,-94.95,-0.18105577387096775
2023-01,24.025,-94.95,-0.19769953903225806
2023-02,24.025,-94.95,-0.171354985
2023-03,24.025,-94.95,-0.19765789258064517
2023-04,24.025,-94.95,-0.14200487483333332
2023-05,24.025,-94.95,-0.025359398681290325
2023-06,24.025,-94.95,-0.2026737613333333
2023-07,24.025,-94.95,-0.26352213387096773
2023-08,24.025,-94.95,-0.23139126677419355
2023-09,24.025,-94.95,-0.170357004
2023-10,24.025,-94.95,-0.15384586
2023-11,24.025,-94.95,-0.15588242533333335
2023-12,24.025,-94.95,-0.18948439096774194
2024-01,24.025,-94.95,-0.07613761644651613
2024-02,24.025,-94.95,-0.02275072566551724
2024-03,24.025,-94.95,-0.07978052917419355
2024-04,24.025,-94.95,-0.0850623977
2024-05,24.025,-94.95,-0.18940149612903226
2024-06,24.025,-94.95,-0.213465915
2024-07,24.025,-94.95,-0.2569458525806452
2024-08,24.025,-94.95,-0.12349640770967742
2024-09,24.025,-94.95,0.06867787933333333
2024-10,24.025,-94.95,0.06862035548387097
2024-11,24.025,-94.95,-0.06929151438999999
2024-12,24.025,-94.95,-0.2370123006451613
2025-01,24.025,-94.95,-0.2592345164516129
2025-02,24.025,-94.95,-0.235998495
2025-03,24.025,-94.95,-0.21263603935483869
2025-04,24.025,-94.95,-0.08394471683333334
2025-05,24.025,-94.95,-0.07637440163870968
2025-06,24.025,-94.95,-0.1199469851
2025-07,24.025,-94.95,-0.002871800796774194
2025-08,24.025,-94.95,-0.2033903270967742
2025-09,24.025,-94.95,-0.17574381766666666
2025-10,24.025,-94.95,-0.008031451180645162
2025-11,24.025,-94.95,-0.00012620790000000004
2025-12,24.025,-94.95,0.0024189377119354836
2026-01,24.025,-94.95,-0.016739420177419355
2026-02,24.025,-94.95,0.0018422848410714287
2026-03,24.025,-94.95,-0.0669632550483871
2026-04,24.025,-94.95,-0.09318671796666665
2026-05,24.025,-94.95,-0.0702631441983871
2026-06,24.025,-94.95,-0.20751915833333331
2026-07,24.025,-94.95,-0.22430870064516129
2026-08,24.025,-94.95,-0.16420579580645162
2026-09,24.025,-94.95,-0.16481921033333333
2026-10,24.025,-94.95,-0.08091464751612903
2026-11,24.025,-94.95,-0.014566275786866667
2026-12,24.025,-94.95,-0.0543935941483871
2027-01,24.025,-94.95,-0.12633738159193547
2027-02,24.025,-94.95,-0.2775422535714286
2027-03,24.025,-94.95,-0.23245017903225806
2027-04,24.025,-94.95,-0.20355573533333335
2027-05,24.025,-94.95,-0.17439699129032257
2027-06,24.025,-94.95,-0.01616099553
2027-07,24.025,-94.95,0.0830788314
2027-08,24.025,-94.95,-0.05279798535483871
2027-09,24.025,-94.95,-0.0030587071576666665
2027-10,24.025,-94.95,-0.18696308016129032
2027-11,24.025,-94.95,-0.26573355066666665
2027-12,24.025,-94.95,-0.3251558948387097
